,Date,Hour,Power
0,2019-10-29,0,0.0
1,,1,0.0
2,,2,0.0
3,,3,0.0
4,,4,0.0
5,,5,0.0
0,,7,60.33333333333334
1,,8,186.4166666666667
2,,9,660.3333333333334
3,,10,609.6
4,,11,1079.583333333333
5,,12,1036.666666666667
6,,13,1004.454545454545
7,,14,726.75
8,,15,589.0833333333334
9,,16,104.6666666666667
10,,17,0.0
11,,18,0.0
12,,19,0.0
13,,20,0.0
14,,21,0.0
15,,22,0.0
16,,23,0.0
17,2019-10-30,7,166.875
0,,0,0.0
1,,1,0.0
2,,2,0.0
3,,3,0.0
4,,4,0.0
5,,5,0.0
18,,8,830.0833333333334
19,,9,1861.083333333333
20,,10,1377.909090909091
21,,11,1007.666666666667
22,,12,983.25
23,,13,1404.25
24,,14,990.0833333333334
25,,15,984.0
26,,16,110.4166666666667
27,,17,0.0
28,,18,0.0
29,,19,0.0
30,,20,0.0
31,,21,0.0
32,,22,0.0
33,,23,0.0
34,2019-10-31,7,240.1111111111111
35,,8,957.3333333333334
0,,0,0.0
1,,1,0.0
2,,2,0.0
3,,3,0.0
4,,4,0.0
5,,5,0.0
36,,9,1729.75
37,,10,2588.333333333333
38,,11,2631.916666666667
39,,12,3586.25
40,,13,2504.25
41,,14,2098.25
42,,15,825.9166666666666
43,,16,102.5
44,,17,0.0
45,,18,0.0
46,,19,0.0
47,,20,0.0
48,,21,0.0
49,,22,0.0
50,,23,0.0
51,2019-11-01,7,124.875
52,,8,650.1666666666666
53,,9,1407.833333333333
0,,0,0.0
1,,1,0.0
2,,2,0.0
3,,3,0.0
4,,4,0.0
5,,5,0.0
54,,10,1698.545454545455
55,,11,1975.083333333333
56,,12,1677.916666666667
57,,13,1407.75
58,,14,1514.25
59,,15,794.1666666666666
60,,16,57.66666666666666
61,,17,0.0
62,,18,0.0
63,,19,0.0
64,,20,0.0
65,,21,0.0
66,,22,0.0
67,,23,0.0
68,2019-11-02,7,152.8333333333333
69,,8,345.5
70,,9,748.1111111111111
71,,10,1241.625
0,,0,0.0
1,,1,0.0
2,,2,0.0
3,,3,0.0
4,,4,0.0
5,,5,0.0
72,,11,1499.4
73,,12,3547.0
74,,13,5437.285714285715
75,,14,6368.777777777777
76,,15,1574.125
77,,16,257.5
78,,17,0.0
79,,18,0.0
80,,19,0.0
81,,20,0.0
82,,21,0.0
83,,22,0.0
84,,23,0.0
85,2019-11-03,7,273.25
86,,8,1242.083333333333
87,,9,851.25
88,,10,1138.75
89,,11,1702.166666666667
0,,0,0.0
1,,1,0.0
2,,2,0.0
3,,3,0.0
4,,4,0.0
5,,5,0.0
90,,12,2524.083333333333
91,,13,1377.5
92,,14,829.5454545454545
93,,15,457.4166666666667
94,,16,81.66666666666667
95,,17,0.0
96,,18,0.0
97,,19,0.0
98,,20,0.0
99,,21,0.0
100,,22,0.0
101,,23,0.0
102,2019-11-04,7,169.4444444444445
103,,8,509.3333333333333
104,,9,1542.833333333333
105,,10,5984.916666666667
106,,11,4309.0
107,,12,6745.083333333333
0,,0,0.0
1,,1,0.0
2,,2,0.0
3,,3,0.0
4,,4,0.0
5,,5,0.0
108,,13,4508.666666666667
109,,14,913.3636363636364
110,,15,342.4166666666667
111,,16,36.08333333333334
112,,17,0.0
113,,18,0.0
114,,19,0.0
115,,20,0.0
116,,21,0.0
117,,22,0.0
118,,23,0.0
119,2019-11-05,7,32.0
120,,8,224.4545454545455
